Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,comb
ho sarkay leo khattiya jada lage,"kumar sanu, poornima",bollywoodromantic,raja babu,8.0/10,"ho sarkay leo khattiya jada lage kumar sanu, poornima raja babu bollywoodromantic"
nadiya chale chale re dhara,manna dey,bollywooddance,safar,8.6/10,nadiya chale chale re dhara manna dey safar bollywooddance
khatam kahani,"jyoti nooran, sultana nooran, vishal mishra",bollywood,qarib qarib single,8.8/10,"khatam kahani jyoti nooran, sultana nooran, vishal mishra qarib qarib single bollywood"
jiya jale,"lata mangeshkar, m.g. sreekumar",bollywooddance,dil se,9.4/10,"jiya jale lata mangeshkar, m.g. sreekumar dil se bollywooddance"
manva likes to fly,shalmali kholgade,bollywooddance,tumhari sulu,8.8/10,manva likes to fly shalmali kholgade tumhari sulu bollywooddance
aashayein,"kk, salim merchant",bollywoodmotivational,iqbal,9.5/10,"aashayein kk, salim merchant iqbal bollywoodmotivational"
aur kya,abhijeet,bollywooddanceromance,unknown,9.5/10,aur kya abhijeet unknown bollywooddanceromance
aisa kyoon hota hai,alka yagnik,bollywoodromantic,ishq vishk,9.3/10,aisa kyoon hota hai alka yagnik ishq vishk bollywoodromantic
aaja shaam hone aayi,"lata mangeshkar, s.p. balasubrahmanyam",bollywooddance,maine pyar kiya,8.7/10,"aaja shaam hone aayi lata mangeshkar, s.p. balasubrahmanyam maine pyar kiya bollywooddance"
cocktail mashup,multiple,bollywooddance,cocktail,9.5/10,cocktail mashup multiple cocktail bollywooddance
teri mehfil mein kismat azmakar,"lata mangeshkar, shamshad begum.",bollywooddance,mughal-e-azam,8.9/10,"teri mehfil mein kismat azmakar lata mangeshkar, shamshad begum. mughal-e-azam bollywooddance"
pandey jee seeti,"mamta sharma, shreya ghoshal, wajid",bollywooddance,dabangg 2,8.7/10,"pandey jee seeti mamta sharma, shreya ghoshal, wajid dabangg 2 bollywooddance"
ye jawaani teri,"jonita gandhi, nakash aziz",bollywooddance,meri pyaari bindu,9.4/10,"ye jawaani teri jonita gandhi, nakash aziz meri pyaari bindu bollywooddance"
ghar aaja pardesi,unknown,bollywooddance,dilwale dulhania le jayenge,8.5/10,ghar aaja pardesi unknown dilwale dulhania le jayenge bollywooddance
kitaben bahut si,"asha bhosle, vinod rathod",bollywooddance,baazigar,8.8/10,"kitaben bahut si asha bhosle, vinod rathod baazigar bollywooddance"
jahan teri yeh nazar hai,kishore kumar,bollywooddance,kaalia,9.3/10,jahan teri yeh nazar hai kishore kumar kaalia bollywooddance
namak paare,"anupam amod, mamta sharma",bollywooddance,raja natwarlal,9.3/10,"namak paare anupam amod, mamta sharma raja natwarlal bollywooddance"
nazdeekiyan,"neeti mohan, nikhil paul george",bollywoodromantic,shaandaar,9.6/10,"nazdeekiyan neeti mohan, nikhil paul george shaandaar bollywoodromantic"
jhumritalaiyya,"arijit singh, mohan kanan",bollywooddance,jagga jasoos,9.3/10,"jhumritalaiyya arijit singh, mohan kanan jagga jasoos bollywooddance"
pyar dilon ka mela hai,"alka yagnik, sonu nigam",bollywooddanceromantic,dulhan hum le jaayenge,9.1/10,"pyar dilon ka mela hai alka yagnik, sonu nigam dulhan hum le jaayenge bollywooddanceromantic"
aap ki ankhon mein kuch,"kishore kumar, lata mangeshkar",bollywoodromantic,ghar,9.2/10,"aap ki ankhon mein kuch kishore kumar, lata mangeshkar ghar bollywoodromantic"
haawa haawa,mohit chauhan,bollywooddance,rockstar,9.5/10,haawa haawa mohit chauhan rockstar bollywooddance
baatein ye kabhi na (female),palak muchhal,bollywoodromantic,khamoshiyan,9.5/10,baatein ye kabhi na (female) palak muchhal khamoshiyan bollywoodromantic
lakh lakh,neeraj shridhar,bollywooddance,kambakkht ishq,9.1/10,lakh lakh neeraj shridhar kambakkht ishq bollywooddance
yari hai imaan mera,manna dey,bollywooddance,zanjeer,8.6/10,yari hai imaan mera manna dey zanjeer bollywooddance
o mere sanam,"lata mangeshkar, mukesh",bollywoodsad,sangam,8.3/10,"o mere sanam lata mangeshkar, mukesh sangam bollywoodsad"
daag,sukhwinder singh,bollywoodsad,bhoomi,9.5/10,daag sukhwinder singh bhoomi bollywoodsad
koi kahe kehta rahe,"k.k., shaan, shankar mahadevan",bollywooddance,dil chahta hai,9.4/10,"koi kahe kehta rahe k.k., shaan, shankar mahadevan dil chahta hai bollywooddance"
mere khayalon ki malika,abhijeet,bollywoodromance,josh,9.4/10,mere khayalon ki malika abhijeet josh bollywoodromance
krazzy 4,vishal dadlani,bollywooddance,krazzy 4,9.3/10,krazzy 4 vishal dadlani krazzy 4 bollywooddance
sun zara,adnan sami,bollywoodromantic,lucky,9.4/10,sun zara adnan sami lucky bollywoodromantic
zinda rehti hain mohabbatein,"lata mangeshkar, udit narayan",bollywoodsad,mohabbatein,9.5/10,"zinda rehti hain mohabbatein lata mangeshkar, udit narayan mohabbatein bollywoodsad"
titliyan,sunidhi chauhan,bollywooddance,rocky handsome,9.3/10,titliyan sunidhi chauhan rocky handsome bollywooddance
jeete hain chal,kavita seth,bollywoodsad,neerja,9.6/10,jeete hain chal kavita seth neerja bollywoodsad
hum tum,"alka yagnik, babul supriyo",bollywoodromantic,hum tum,9.4/10,"hum tum alka yagnik, babul supriyo hum tum bollywoodromantic"
yun hi chala chal,"hariharan, kailash kher, udit narayan",bollywooddance,swades,9.4/10,"yun hi chala chal hariharan, kailash kher, udit narayan swades bollywooddance"
dooriyan,mohit chauhan,bollywoodsad,love aj kal,9.4/10,dooriyan mohit chauhan love aj kal bollywoodsad
yeh hum aa gaye hain kahaan,"lata mangeshkar, udit narayan",bollywoodromantic,veer zaara,9.4/10,"yeh hum aa gaye hain kahaan lata mangeshkar, udit narayan veer zaara bollywoodromantic"
yaar na miley (remix),"jasmine sandlas, yo yo honey singh",bollywooddance,kick,9.0/10,"yaar na miley (remix) jasmine sandlas, yo yo honey singh kick bollywooddance"
yaar naa miley (remix),"jasmine sandlas, yo yo honey singh",bollywooddance,kick,9.0/10,"yaar naa miley (remix) jasmine sandlas, yo yo honey singh kick bollywooddance"
joganiyan,shruti haasan,bollywoodromantic,tevar,9.6/10,joganiyan shruti haasan tevar bollywoodromantic
huzur is kadar,"bhupinder singh, suresh wadkar",bollywooddance,masoom,9.4/10,"huzur is kadar bhupinder singh, suresh wadkar masoom bollywooddance"
aye zindagi gale lagaa le,suresh wadkar,bollywoodromantic,sadma,9.2/10,aye zindagi gale lagaa le suresh wadkar sadma bollywoodromantic
surmayee ankhiyon mein,"ilaiyaraaja, k.j. yesudas",bollywoodromantic,sadma,9.2/10,"surmayee ankhiyon mein ilaiyaraaja, k.j. yesudas sadma bollywoodromantic"
meri ada bhi,"rahat fateh ali khan, tulsi kumar",bollywooddanceromantic,ready,9.3/10,"meri ada bhi rahat fateh ali khan, tulsi kumar ready bollywooddanceromantic"
waada raha sanam,"abhijeet, alka yagnik",bollywooddanceromantic,khiladi,9.3/10,"waada raha sanam abhijeet, alka yagnik khiladi bollywooddanceromantic"
tumse hi tumse,"caralisa monteiro, shekhar ravjiani",bollywoodromantic,anjaana anjaani,9.6/10,"tumse hi tumse caralisa monteiro, shekhar ravjiani anjaana anjaani bollywoodromantic"
"gori ka sajan, sajan ki gori","mohammad aziz, s. janaki",bollywooddance,aakhree raasta,8.6/10,"gori ka sajan, sajan ki gori mohammad aziz, s. janaki aakhree raasta bollywooddance"
falak dekhun,sonu nigam,bollywooddance,garam masala,9.2/10,falak dekhun sonu nigam garam masala bollywooddance
shikdum,"shaan, shreya ghoshal",bollywooddanceromantic,dhoom,9.2/10,"shikdum shaan, shreya ghoshal dhoom bollywooddanceromantic"
bezubaan,k.k.,bollywoodromantic,laali ki shaadi mein laaddoo deewana,8.5/10,bezubaan k.k. laali ki shaadi mein laaddoo deewana bollywoodromantic
mere bina tu (duet version),"harshdeep kaur, pritam",bollywoodsad,phata poster nikhla hero,9.4/10,"mere bina tu (duet version) harshdeep kaur, pritam phata poster nikhla hero bollywoodsad"
alisha,"anushka manchanda, salim merchant",bollywooddance,pyaar impossible,9.4/10,"alisha anushka manchanda, salim merchant pyaar impossible bollywooddance"
aaj kal yaad kuch aur rehta nahin,mohammad aziz,bollywoodromantic,nagina,8.2/10,aaj kal yaad kuch aur rehta nahin mohammad aziz nagina bollywoodromantic
dil kho gaya,"anuradha paudwal, udit narayan",bollywoodromantic,dil,8.4/10,"dil kho gaya anuradha paudwal, udit narayan dil bollywoodromantic"
sun soniye,"antara mitra, mohammed irfan",bollywoodromantic,ajab gazabb love,9.5/10,"sun soniye antara mitra, mohammed irfan ajab gazabb love bollywoodromantic"
baadal,sunidhi chauhan,bollywoodsad,akira,9.5/10,baadal sunidhi chauhan akira bollywoodsad
ae mere humsafar,"alka yagnik, vinod rathod",bollywoodromantic,baazigar,8.9/10,"ae mere humsafar alka yagnik, vinod rathod baazigar bollywoodromantic"
idhar chala mein udhar chala,"alka yagnik, udit narayan",bollywooddance,koi mil gaya,9.2/10,"idhar chala mein udhar chala alka yagnik, udit narayan koi mil gaya bollywooddance"
kise dhoondta hai pagal sapare,anuradha paudwal,bollywooddance,nigahen,7.2/10,kise dhoondta hai pagal sapare anuradha paudwal nigahen bollywooddance
mere dushman mere bhai,hariharan,bollywoodsad,border,9.2/10,mere dushman mere bhai hariharan border bollywoodsad
aye meri zohra jabeen,manna dey,bollywooddance,waqt,9.0/10,aye meri zohra jabeen manna dey waqt bollywooddance
aye dil laaya hai bahaar,"hariharan, kavita krishnamurthy",bollywooddance,kya kehna,9.4/10,"aye dil laaya hai bahaar hariharan, kavita krishnamurthy kya kehna bollywooddance"
bad baby,"badshah, gippy grewal",bollywooddance,second hand husband,8.7/10,"bad baby badshah, gippy grewal second hand husband bollywooddance"
dil kyun yeh mera,k.k.,bollywoodromantic,kites,9.5/10,dil kyun yeh mera k.k. kites bollywoodromantic
tum se milke,"asha bhosle, suresh wadkar",bollywoodromantic,parinda,9.4/10,"tum se milke asha bhosle, suresh wadkar parinda bollywoodromantic"
dhup chik,"badshah, raftaar",bollywooddance,fugly,9.3/10,"dhup chik badshah, raftaar fugly bollywooddance"
aadha ishq,"natalie di luccio, shreya ghoshal",bollywoodromantic,band baaja baaraat,9.6/10,"aadha ishq natalie di luccio, shreya ghoshal band baaja baaraat bollywoodromantic"
pink lips (remix),khushboo grewal,bollywooddance,hate story 2,9.0/10,pink lips (remix) khushboo grewal hate story 2 bollywooddance
paathshaala,"blaaze, mohammed aslam, naresh iyer",bollywooddance,rang de basanti,9.6/10,"paathshaala blaaze, mohammed aslam, naresh iyer rang de basanti bollywooddance"
ala barfi,mohit chauhan,bollywooddance,barfi,9.6/10,ala barfi mohit chauhan barfi bollywooddance
kudi tu butter,yo yo honey singh,bollywooddance,bajatey raho,9.4/10,kudi tu butter yo yo honey singh bajatey raho bollywooddance
churiyan kanak gayee,"ila arun, lata mangeshkar, moinuddin manchala",bollywooddance,lamhe,8.9/10,"churiyan kanak gayee ila arun, lata mangeshkar, moinuddin manchala lamhe bollywooddance"
kapoor & sons (mashup),multiple,bollywooddance,kapoor & sons,9.4/10,kapoor & sons (mashup) multiple kapoor & sons bollywooddance
mujhse dosti karoge,"alka yagnik, asha bhosle, udit narayan",bollywoodromantic,mujhse dosti karoge!,9.1/10,"mujhse dosti karoge alka yagnik, asha bhosle, udit narayan mujhse dosti karoge! bollywoodromantic"
hum to dil se haare,"alka yagnik, udit narayan",bollywoodsad,josh,9.1/10,"hum to dil se haare alka yagnik, udit narayan josh bollywoodsad"
soniye,k.k.,bollywoodromantic,heartless,9.7/10,soniye k.k. heartless bollywoodromantic
albela sajan,"kavita krishnamurthy, shankar mahadevan, ustad sultan khan",bollywooddance,hum dil de chuke sanam,9.2/10,"albela sajan kavita krishnamurthy, shankar mahadevan, ustad sultan khan hum dil de chuke sanam bollywooddance"
ehsan tera hoga mujh par,mohammed rafi,bollywoodromantic,junglee,9.6/10,ehsan tera hoga mujh par mohammed rafi junglee bollywoodromantic
rola pe gaya,"earl d'souza, hard kaur, mahadevan, mahalakshmi iyer, master saleem, shankar",bollywooddance,patiala house,9.3/10,"rola pe gaya earl d'souza, hard kaur, mahadevan, mahalakshmi iyer, master saleem, shankar patiala house bollywooddance"
bande mein tha dum vande mataram,"pranab biswas, shreya ghoshal, sonu nigam",bollywooddance,lage raho munna bhai,9.4/10,"bande mein tha dum vande mataram pranab biswas, shreya ghoshal, sonu nigam lage raho munna bhai bollywooddance"
jawani janeman,asha bhosle,bollywooddance,namak halaal,9.1/10,jawani janeman asha bhosle namak halaal bollywooddance
yahi hota pyaar,"himesh reshammiya, sunidhi chauhan",bollywoodsad,namastey london,9.3/10,"yahi hota pyaar himesh reshammiya, sunidhi chauhan namastey london bollywoodsad"
jawani janeman,asha bhosle,bollywooddance,namak halaal,9.1/10,jawani janeman asha bhosle namak halaal bollywooddance
aa aa e ooh ooh ooh mera dil na todo,abhijeet,bollywooddance,raja babu,8.9/10,aa aa e ooh ooh ooh mera dil na todo abhijeet raja babu bollywooddance
main to raste se ja raha tha,"alka yagnik, kumar sanu",bollywoodromantic,coolie no. 1,9.0/10,"main to raste se ja raha tha alka yagnik, kumar sanu coolie no. 1 bollywoodromantic"
awaarapan banjarapan,m. m. keeravani,bollywooddance,jism,9.4/10,awaarapan banjarapan m. m. keeravani jism bollywooddance
yeh raat aur yeh doori,"asha bhosle, s.p. balasubrahmanyam",bollywooddance,andaz apna apna,9.3/10,"yeh raat aur yeh doori asha bhosle, s.p. balasubrahmanyam andaz apna apna bollywooddance"
mere dil jigar se guzree hai,"alka yagnik, kumar sanu",bollywooddance,soldier,8.5/10,"mere dil jigar se guzree hai alka yagnik, kumar sanu soldier bollywooddance"
yeh dil jo hai badmaash hai,"mohit chauhan, monali thakur, shreya ghoshal",bollywooddance,phir se,9.4/10,"yeh dil jo hai badmaash hai mohit chauhan, monali thakur, shreya ghoshal phir se bollywooddance"
saawali si raat,arijit singh,bollywoodromantic,barfi,9.8/10,saawali si raat arijit singh barfi bollywoodromantic
aaankhein milayenge darr se,"k. mohan, neha bhasin",bollywooddance,neerja,9.6/10,"aaankhein milayenge darr se k. mohan, neha bhasin neerja bollywooddance"
ishq vishq,"kamaal khan, sunidhi chauhan, suzanne d'mello",bollywoodromantic,wanted,9.2/10,"ishq vishq kamaal khan, sunidhi chauhan, suzanne d'mello wanted bollywoodromantic"
hoshwalon ko khabar kya,jagjit singh,bollywoodsad,sarfarosh,9.4/10,hoshwalon ko khabar kya jagjit singh sarfarosh bollywoodsad
ghoomar,"k.k., sunidhi chauhan",bollywooddance,chup chup ke,9.0/10,"ghoomar k.k., sunidhi chauhan chup chup ke bollywooddance"
dil mere,kumar sanu,bollywooddance,sooryavansham,9.0/10,dil mere kumar sanu sooryavansham bollywooddance
mujhe haq hai,"shreya ghoshal, udit narayan",bollywoodromantic,vivah,9.0/10,"mujhe haq hai shreya ghoshal, udit narayan vivah bollywoodromantic"
musafir,tushar joshi,bollywoodromantic,jagga jasoos,9.5/10,musafir tushar joshi jagga jasoos bollywoodromantic
chalak chalak,"shreya ghoshal, udit narayan, vinod rathod",bollywooddance,devdas,9.4/10,"chalak chalak shreya ghoshal, udit narayan, vinod rathod devdas bollywooddance"
subah subah,"shekhar ravjiani, vishal dadlani, zubeen garg",bollywooddance,i see you,9.5/10,"subah subah shekhar ravjiani, vishal dadlani, zubeen garg i see you bollywooddance"
pyar kar,"lata mangeshkar, udit narayan",bollywoodromantic,dil to pagal hai,9.3/10,"pyar kar lata mangeshkar, udit narayan dil to pagal hai bollywoodromantic"
o jaana na jaana,"kumar sanu, lata mangeshkar",bollywoodromantic,jab pyar kisisi se hota hai,9.3/10,"o jaana na jaana kumar sanu, lata mangeshkar jab pyar kisisi se hota hai bollywoodromantic"
mhare hiwra main nache mor,"alka yagnik, anuradha paudwal, hariharan, kavita krishnamurthy, kumar sanu, udit narayan",bollywooddance,hum saath-saath hain,8.6/10,"mhare hiwra main nache mor alka yagnik, anuradha paudwal, hariharan, kavita krishnamurthy, kumar sanu, udit narayan hum saath-saath hain bollywooddance"
raitaa phail gayaa,divya kumar,bollywooddance,shaandaar,9.2/10,raitaa phail gayaa divya kumar shaandaar bollywooddance
tere bina,rahat fateh ali khan,bollywoodromantic,tezz,9.2/10,tere bina rahat fateh ali khan tezz bollywoodromantic
sava dollar (lavni),sunidhi chauhan,bollywooddance,aiyyaa,9.1/10,sava dollar (lavni) sunidhi chauhan aiyyaa bollywooddance
baba meri yeh jawani,falguni pathak,bollywooddance,ghaath,8.6/10,baba meri yeh jawani falguni pathak ghaath bollywooddance
deewana main chala,udit narayan,bollywooddance,pyaar kiya to darna kya,9.2/10,deewana main chala udit narayan pyaar kiya to darna kya bollywooddance
zindagi ki yahi reet hai,kishore kumar,bollywooddance,mr. india,9.1/10,zindagi ki yahi reet hai kishore kumar mr. india bollywooddance
chak de,"sadhana sargam, sonu nigam",bollywooddance,hum tum,9.3/10,"chak de sadhana sargam, sonu nigam hum tum bollywooddance"
sirf tum,"anuradha paudwal, hariharan",bollywooddance,sirf tum,8.6/10,"sirf tum anuradha paudwal, hariharan sirf tum bollywooddance"
chhaliya,"piyush mishra, sunidhi chauhan",bollywood,tashan,9.4/10,"chhaliya piyush mishra, sunidhi chauhan tashan bollywood"
dum dum diga diga,mukesh,bollywooddance,chhalia,9.2/10,dum dum diga diga mukesh chhalia bollywooddance
aankhon ne tumhari,"alka yagnik, kumar sanu",bollywoodromantic,ishq vishk,9.3/10,"aankhon ne tumhari alka yagnik, kumar sanu ishq vishk bollywoodromantic"
janam janam,atif aslam,bollywood,phata poster nikhla hero,9.6/10,janam janam atif aslam phata poster nikhla hero bollywood
tanha tanha,"aditi paul, jubin nautiyal",bollywoodromantic,dil jo na keh saka,9.0/10,"tanha tanha aditi paul, jubin nautiyal dil jo na keh saka bollywoodromantic"
heer,"mahalakshmi, mika singh",bollywoodromantic,baa baaa black sheep,8.0/10,"heer mahalakshmi, mika singh baa baaa black sheep bollywoodromantic"
wat wat wat,"arijit singh, shashwat singh",bollywooddance,tamasha,9.5/10,"wat wat wat arijit singh, shashwat singh tamasha bollywooddance"
tanha tanha ghum ke dhunde dil,"aditi paul, jubin nautiyal",bollywoodromantic,dil jo na keh saka,9.0/10,"tanha tanha ghum ke dhunde dil aditi paul, jubin nautiyal dil jo na keh saka bollywoodromantic"
pyar ki raahen,shaan,bollywoodsad,bewafaa,9.4/10,pyar ki raahen shaan bewafaa bollywoodsad
aap ki khatir,himesh reshammiya,bollywoodromantic,aap ki khatir,9.3/10,aap ki khatir himesh reshammiya aap ki khatir bollywoodromantic
saat rang mein khel rahi hain,"amit kumar, anuradha paudwal",bollywooddance,aakhir kyon,7.8/10,"saat rang mein khel rahi hain amit kumar, anuradha paudwal aakhir kyon bollywooddance"
jaadoo jaadoo,"adnan sami, alka yagnik",bollywooddance,koi mil gaya,8.2/10,"jaadoo jaadoo adnan sami, alka yagnik koi mil gaya bollywooddance"
yaadon mein,"cuca roseta, jonita gandhi, mohammed irfan",bollywoodsad,jab harry met sejal,9.6/10,"yaadon mein cuca roseta, jonita gandhi, mohammed irfan jab harry met sejal bollywoodsad"
dil deewana bin sajna ke,s.p. balasubrahmanyam,bollywooddance,maine pyar kiya,9.0/10,dil deewana bin sajna ke s.p. balasubrahmanyam maine pyar kiya bollywooddance
chori chori chupke chupke,"alka yagnik, babul supriyo",bollywooddance,chori chori chupke chupke,8.8/10,"chori chori chupke chupke alka yagnik, babul supriyo chori chori chupke chupke bollywooddance"
behene de,"karthik, mohammed irfan",bollywooddance,raavan,9.3/10,"behene de karthik, mohammed irfan raavan bollywooddance"
o re kanchi,"alka yagnik, shaan",bollywooddance,asoka,9.4/10,"o re kanchi alka yagnik, shaan asoka bollywooddance"
rasiya,shruti pathak,bollywoodsensual,kurbaan,8.5/10,rasiya shruti pathak kurbaan bollywoodsensual
meri zindagi ek pyaas,"jaspinder narula, shankar mahadevan",bollywoodsad,judaai,8.6/10,"meri zindagi ek pyaas jaspinder narula, shankar mahadevan judaai bollywoodsad"
tum jo aaye,rahat fateh ali khan,bollywoodromantic,once upon a time in mumbai,9.4/10,tum jo aaye rahat fateh ali khan once upon a time in mumbai bollywoodromantic
laal ishq,arijit singh,bollywoodsad,goliyon ki rasleela ram-leela,9.5/10,laal ishq arijit singh goliyon ki rasleela ram-leela bollywoodsad
tujhe jeevan ki dor se,"lata mangeshkar, mohammed rafi",bollywoodromantic,asli naqli,9.0/10,"tujhe jeevan ki dor se lata mangeshkar, mohammed rafi asli naqli bollywoodromantic"
aao bachho tumhe dikhaye,kavi pradeep,bollywoodpatriotic,jagriti,9.3/10,aao bachho tumhe dikhaye kavi pradeep jagriti bollywoodpatriotic
mujhse mohabbat ka,"alka yagnik, kumar sanu",bollywoodromantic,hum hain rahi pyaar ke,8.8/10,"mujhse mohabbat ka alka yagnik, kumar sanu hum hain rahi pyaar ke bollywoodromantic"
mujhe pyaar hua,"abhijeet, alka yagnik",bollywooddance,judaai,7.7/10,"mujhe pyaar hua abhijeet, alka yagnik judaai bollywooddance"
satarangi re,"kavita krishnamurthy, sonu nigam",bollywooddance,dil se,9.4/10,"satarangi re kavita krishnamurthy, sonu nigam dil se bollywooddance"
mann ki lagan,rahat fateh ali khan,bollywoodsad,paap,9.2/10,mann ki lagan rahat fateh ali khan paap bollywoodsad
dil na jaane kyun,"anushka manchanda, atif aslam",bollywooddance,jayantabhai ki luv story,9.5/10,"dil na jaane kyun anushka manchanda, atif aslam jayantabhai ki luv story bollywooddance"
usne bola kem che,"bali brahmbhatt, sunidhi chauhan",bollywooddance,jis desh main ganga rehta hai,8.9/10,"usne bola kem che bali brahmbhatt, sunidhi chauhan jis desh main ganga rehta hai bollywooddance"
sajna ve sajna,sunidhi chauhan,bollywooddance,chameli,9.4/10,sajna ve sajna sunidhi chauhan chameli bollywooddance
mera yaar,javed bashir,bollywoodromantic,bhaag milkha bhaag,9.5/10,mera yaar javed bashir bhaag milkha bhaag bollywoodromantic
jiyein kyun,papon,bollywoodsad,dum maaro dum,9.7/10,jiyein kyun papon dum maaro dum bollywoodsad
dil ki hai tamanna,"neha bhasin, shalini singh, vijay prakash",bollywooddance,force,9.6/10,"dil ki hai tamanna neha bhasin, shalini singh, vijay prakash force bollywooddance"
dum duma dum,"anuradha paudwal, udit narayan",bollywooddance,dil,8.7/10,"dum duma dum anuradha paudwal, udit narayan dil bollywooddance"
dil chahta hai,shankar mahadevan,bollywooddance,dil chahta hai,9.5/10,dil chahta hai shankar mahadevan dil chahta hai bollywooddance
aai pappi  tu hai meri soniye,neeraj shridhar,bollywooddance,kismat konnection,9.5/10,aai pappi  tu hai meri soniye neeraj shridhar kismat konnection bollywooddance
wheres the party tonight,"loy mendonsa, shaan, shankar mahadevan, vasundhara das",bollywooddance,kabhi alvida naa kehna,9.3/10,"wheres the party tonight loy mendonsa, shaan, shankar mahadevan, vasundhara das kabhi alvida naa kehna bollywooddance"
prem jaal mein,"anuradha sriram, sukhwinder singh",bollywooddanceromantic,jis desh mein ganga rehta hai,8.7/10,"prem jaal mein anuradha sriram, sukhwinder singh jis desh mein ganga rehta hai bollywooddanceromantic"
boi boi,"arun bakshi, vinod rathod",bollywooddance,laadla,8.4/10,"boi boi arun bakshi, vinod rathod laadla bollywooddance"
jeevan se bhari teri ankhen,kishore kumar,bollywoodromantic,safar,9.1/10,jeevan se bhari teri ankhen kishore kumar safar bollywoodromantic
teri pyari pyari soorat ko,mohammed rafi,bollywoodromantic,sasural,9.1/10,teri pyari pyari soorat ko mohammed rafi sasural bollywoodromantic
bas ek kinng,"hard kaur, jaaved jaffrey, neeraj shridhar",bollywooddance,singh is kingh,9.3/10,"bas ek kinng hard kaur, jaaved jaffrey, neeraj shridhar singh is kingh bollywooddance"
jeena yahan marna yahan,mukesh,bollywoodsad,mera naam joker,8.8/10,jeena yahan marna yahan mukesh mera naam joker bollywoodsad
banarasiya,"anwesshaa, meenal jain, shreya ghoshal",bollywoodromantic,raanjhanaa,9.3/10,"banarasiya anwesshaa, meenal jain, shreya ghoshal raanjhanaa bollywoodromantic"
whats going on?,"kunal ganjawala, sunidhi chauhan",bollywooddance,salaam namaste,9.5/10,"whats going on? kunal ganjawala, sunidhi chauhan salaam namaste bollywooddance"
aye watan aye watan,"jaspinder narula, sukhwinder singh, udit narayan",bollywoodpatriotic,hindustan ki kasam,8.9/10,"aye watan aye watan jaspinder narula, sukhwinder singh, udit narayan hindustan ki kasam bollywoodpatriotic"
dulhan hum le jayenge,"alka yagnik, kumar sanu, sunita rao",bollywoodromantic,dulhan hum le jayenge,8.6/10,"dulhan hum le jayenge alka yagnik, kumar sanu, sunita rao dulhan hum le jayenge bollywoodromantic"
aa bhi ja sanam,atif aslam,bollywoodsad,prince,9.4/10,aa bhi ja sanam atif aslam prince bollywoodsad
salaam namaste,"kunal ganjawala, vasundhara das",bollywooddance,salaam namaste,9.2/10,"salaam namaste kunal ganjawala, vasundhara das salaam namaste bollywooddance"
mar jaava,"merchant, shruti pathak",bollywoodsensual,faraar,9.5/10,"mar jaava merchant, shruti pathak faraar bollywoodsensual"
koi jaye to le aaye,"alka yagnik, anu malik, shankar mahadevan",bollywooddance,ghatak,9.0/10,"koi jaye to le aaye alka yagnik, anu malik, shankar mahadevan ghatak bollywooddance"
tumhi dekho naa,"alka yagnik, sonu nigam",bollywoodromantic,kabhi alvida naa kehna,9.7/10,"tumhi dekho naa alka yagnik, sonu nigam kabhi alvida naa kehna bollywoodromantic"
sau dard,"sonu nigam, suzanne",bollywoodsad,jaan-e-mann,9.6/10,"sau dard sonu nigam, suzanne jaan-e-mann bollywoodsad"
piya milenge,sukhwinder singh,bollywoodsad,raanjhanna,9.4/10,piya milenge sukhwinder singh raanjhanna bollywoodsad
chandan sa badan,mukesh,bollywoodromantic,saraswatichandra,9.1/10,chandan sa badan mukesh saraswatichandra bollywoodromantic
kyun (duet),"shaan, shreya ghoshal",bollywoodsad,kambakkht ishq,9.4/10,"kyun (duet) shaan, shreya ghoshal kambakkht ishq bollywoodsad"
alcoholic,yo yo honey singh,bollywooddance,the shaukeens,9.2/10,alcoholic yo yo honey singh the shaukeens bollywooddance
jis gali mein tera ghar,mukesh,bollywoodromantic,kati patang,8.9/10,jis gali mein tera ghar mukesh kati patang bollywoodromantic
kurbaan hua,vishal dadlani,bollywooddance,kurbaan,9.7/10,kurbaan hua vishal dadlani kurbaan bollywooddance
nagada nagada,"javed ali, sonu nigam",bollywooddance,jab we met,9.2/10,"nagada nagada javed ali, sonu nigam jab we met bollywooddance"
main tujhse pyaar nahin karta,papon,bollywoodsad,baby,9.4/10,main tujhse pyaar nahin karta papon baby bollywoodsad
ishq tera,"shreya ghoshal, sonu nigam",bollywoodromantic,ishq tera,9.4/10,"ishq tera shreya ghoshal, sonu nigam ishq tera bollywoodromantic"
oh jaaniya,"raj pandit, salim merchant, shreya ghoshal",bollywoodromantic,wedding pullav,9.6/10,"oh jaaniya raj pandit, salim merchant, shreya ghoshal wedding pullav bollywoodromantic"
jab kisiki taraf dil,kumar sanu,bollywoodromantic,pyaar to hona hi tha,9.3/10,jab kisiki taraf dil kumar sanu pyaar to hona hi tha bollywoodromantic
aye meri zindagi  male version,"shreya ghoshal, udit narayan",bollywoodsad,saaya,9.1/10,"aye meri zindagi  male version shreya ghoshal, udit narayan saaya bollywoodsad"
jiya lage na,"ravindra upadhyay, sona mohapatra",bollywoodromantic,talaash,9.3/10,"jiya lage na ravindra upadhyay, sona mohapatra talaash bollywoodromantic"
paas woh aane lage,"alka yagnik, kumar sanu",bollywoodromantic,main khiladi tu anari,8.8/10,"paas woh aane lage alka yagnik, kumar sanu main khiladi tu anari bollywoodromantic"
